[2024-03-04 13:26:28.275682] , Network: grid_10, Trip Size: 500, Average Time: 76.934, Algo: cr, Congestion T: 5
[2024-03-04 13:27:27.657705] , Network: grid_10, Trip Size: 1000, Average Time: 77.378, Algo: cr, Congestion T: 5
[2024-03-04 13:29:20.017756] , Network: grid_10, Trip Size: 2000, Average Time: 78.4745, Algo: cr, Congestion T: 5
[2024-03-04 13:30:48.084151] , Network: grid_10, Trip Size: 1500, Average Time: 78.038, Algo: cr, Congestion T: 5
[2024-03-04 13:31:24.094936] , Network: grid_10, Trip Size: 500, Average Time: 77.724, Algo: astar, Congestion T: 5
[2024-03-04 13:32:23.463690] , Network: grid_10, Trip Size: 1000, Average Time: 77.626, Algo: astar, Congestion T: 5
[2024-03-04 13:34:10.746816] , Network: grid_10, Trip Size: 2000, Average Time: 78.7805, Algo: astar, Congestion T: 5
[2024-03-04 13:35:28.561934] , Network: grid_10, Trip Size: 1500, Average Time: 78.47, Algo: astar, Congestion T: 5
[2024-03-04 13:39:44.872546] , Network: net_001, Trip Size: 1000, Average Time: 414.778, Algo: cr, Congestion T: 5
[2024-03-04 13:54:44.759479] , Network: net_001, Trip Size: 2000, Average Time: 665.887, Algo: cr, Congestion T: 5
[2024-03-04 14:24:39.271671] , Network: net_001, Trip Size: 3000, Average Time: 1039.0345333333332, Algo: cr, Congestion T: 5
[2024-03-04 15:50:08.708638] , Network: net_001, Trip Size: 4000, Average Time: 2038.1636, Algo: cr, Congestion T: 5
[2024-03-04 15:53:53.570846] , Network: net_001, Trip Size: 1000, Average Time: 692.3792, Algo: astar, Congestion T: 5
[2024-03-04 16:02:11.431686] , Network: net_001, Trip Size: 2000, Average Time: 1492.4714, Algo: astar, Congestion T: 5
[2024-03-04 16:21:24.645394] , Network: net_001, Trip Size: 3000, Average Time: 3921.3964, Algo: astar, Congestion T: 5
[2024-03-04 16:48:23.742171] , Network: net_001, Trip Size: 4000, Average Time: 5715.9773, Algo: astar, Congestion T: 5
[2024-03-04 16:48:40.188063] , Network: rand_20, Trip Size: 500, Average Time: 200.088, Algo: cr, Congestion T: 5
[2024-03-04 16:49:05.901696] , Network: rand_20, Trip Size: 1000, Average Time: 189.671, Algo: cr, Congestion T: 5
[2024-03-04 16:49:40.692702] , Network: rand_20, Trip Size: 1250, Average Time: 222.0368, Algo: cr, Congestion T: 5
[2024-03-04 16:50:27.648083] , Network: rand_20, Trip Size: 1500, Average Time: 265.2606666666667, Algo: cr, Congestion T: 5
[2024-03-04 16:50:34.050463] , Network: rand_20, Trip Size: 500, Average Time: 144.248, Algo: astar, Congestion T: 5
[2024-03-04 16:50:50.182426] , Network: rand_20, Trip Size: 1000, Average Time: 356.76, Algo: astar, Congestion T: 5
[2024-03-04 16:51:09.883603] , Network: rand_20, Trip Size: 1250, Average Time: 503.1816, Algo: astar, Congestion T: 5
[2024-03-04 16:51:40.205752] , Network: rand_20, Trip Size: 1500, Average Time: 742.012, Algo: astar, Congestion T: 5
