system_optimum--[2024-04-03 17:56:43.478437] , Network: rand_20, Trip Size: 1001, Average Time: 250.072, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1479
user_equilibrium--[2024-04-03 17:57:23.357956] , Network: rand_20, Trip Size: 1001, Average Time: 283.733, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1546
system_optimum--[2024-04-03 17:58:19.506732] , Network: rand_20, Trip Size: 1002, Average Time: 274.133, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1552
user_equilibrium--[2024-04-03 17:59:07.595544] , Network: rand_20, Trip Size: 1002, Average Time: 355.443, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1738
system_optimum--[2024-04-03 18:00:04.215711] , Network: rand_20, Trip Size: 1003, Average Time: 277.047, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1647
user_equilibrium--[2024-04-03 18:00:54.147580] , Network: rand_20, Trip Size: 1003, Average Time: 336.766, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1774
system_optimum--[2024-04-03 18:01:49.345559] , Network: rand_20, Trip Size: 1004, Average Time: 275.101, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1566
user_equilibrium--[2024-04-03 18:02:33.660083] , Network: rand_20, Trip Size: 1004, Average Time: 330.193, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1606
system_optimum--[2024-04-03 18:03:31.217925] , Network: rand_20, Trip Size: 1005, Average Time: 289.794, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1777
user_equilibrium--[2024-04-03 18:04:13.700427] , Network: rand_20, Trip Size: 1005, Average Time: 329.327, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1657
system_optimum--[2024-04-03 18:05:09.096812] , Network: rand_20, Trip Size: 1006, Average Time: 277.428, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1494
user_equilibrium--[2024-04-03 18:05:56.087908] , Network: rand_20, Trip Size: 1006, Average Time: 306.526, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1661
system_optimum--[2024-04-03 18:06:54.962491] , Network: rand_20, Trip Size: 1007, Average Time: 278.54, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1588
user_equilibrium--[2024-04-03 18:07:38.894030] , Network: rand_20, Trip Size: 1007, Average Time: 332.218, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1643
system_optimum--[2024-04-03 18:08:33.797542] , Network: rand_20, Trip Size: 1008, Average Time: 266.841, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1606
user_equilibrium--[2024-04-03 18:09:17.700058] , Network: rand_20, Trip Size: 1008, Average Time: 312.599, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1665
